--- Simulation details ---

Horizon 0, [<22, [1, 1]>, 2], q_old: 0.17, q_new: 0.17, gain: 0.0000, need: 0.0555, evb: 0.00000
Horizon 0, [<22, [1, 1]>, 3], q_old: 0.12, q_new: 0.12, gain: 0.0000, need: 0.0555, evb: 0.00000
Horizon 0, [<23, [1, 1]>, 0], q_old: 0.14, q_new: 0.36, gain: 0.0546, need: 0.0233, evb: 0.00127
Horizon 0, [<23, [1, 1]>, 2], q_old: 0.14, q_new: 0.14, gain: 0.0000, need: 0.0233, evb: 0.00000

Replay [<16, [1, 1]>, 3] horizon 0, belief , q_old: 0.14, q_new: 0.36, evb: 0.00395

Horizon 2, [<10, [2, 1]>, 0], q_old: 0.85, q_new: 0.85, gain: 0.0000, need: 0.0230, evb: 0.00000
Horizon 2, [<10, [2, 1]>, 2], q_old: 0.00, q_new: 0.61, gain: -0.0298, need: 0.0230, evb: -0.00068
Horizon 2, [<10, [2, 1]>, 3], q_old: 0.85, q_new: 0.85, gain: 0.0000, need: 0.0230, evb: 0.00000
Horizon 2, [<11, [2, 2]>, 0], q_old: 1.00, q_new: 1.00, gain: 0.0000, need: 0.0284, evb: 0.00000
Horizon 2, [<11, [2, 2]>, 2], q_old: 0.00, q_new: 0.72, gain: -0.0536, need: 0.0284, evb: -0.00152
Horizon 2, [<17, [1, 3]>, 0], q_old: 0.14, q_new: 0.21, gain: 0.0054, need: 0.0591, evb: 0.00032
Horizon 2, [<17, [1, 3]>, 1], q_old: 0.12, q_new: 0.12, gain: 0.0000, need: 0.0591, evb: 0.00000
Horizon 2, [<17, [1, 3]>, 2], q_old: 0.17, q_new: 0.17, gain: 0.0000, need: 0.0591, evb: 0.00000
Horizon 2, [<23, [1, 2]>, 0], q_old: 0.14, q_new: 0.14, gain: 0.0000, need: 0.0211, evb: 0.00000
Horizon 2, [<23, [1, 2]>, 2], q_old: 0.14, q_new: 0.14, gain: 0.0000, need: 0.0211, evb: 0.00000
Horizon 2, [<16, [1, 2]>, 1], q_old: 0.14, q_new: 0.14, gain: 0.0000, need: 0.0758, evb: 0.00000
Horizon 2, [<16, [1, 2]>, 2], q_old: 0.20, q_new: 0.20, gain: 0.0000, need: 0.0758, evb: 0.00000
Horizon 2, [<16, [1, 2]>, 3], q_old: 0.14, q_new: 0.14, gain: 0.0000, need: 0.0758, evb: 0.00000
Horizon 1, [<11, [2, 1]>, 0], q_old: 1.00, q_new: 1.00, gain: 0.0000, need: 0.0284, evb: 0.00000
Horizon 1, [<11, [2, 1]>, 2], q_old: 0.00, q_new: 0.72, gain: -0.0536, need: 0.0284, evb: -0.00152
Horizon 1, [<17, [1, 2]>, 0], q_old: 0.14, q_new: 0.28, gain: 0.0231, need: 0.0591, evb: 0.00137
Horizon 1, [<17, [1, 2]>, 1], q_old: 0.12, q_new: 0.12, gain: 0.0000, need: 0.0591, evb: 0.00000
Horizon 1, [<17, [1, 2]>, 2], q_old: 0.17, q_new: 0.17, gain: 0.0000, need: 0.0591, evb: 0.00000
Horizon 0, [<0, [1, 1]>, 1], q_old: 0.38, q_new: 0.38, gain: 0.0000, need: 0.1425, evb: 0.00000
Horizon 0, [<0, [1, 1]>, 3], q_old: 0.52, q_new: 0.52, gain: 0.0000, need: 0.1425, evb: 0.00000
Horizon 0, [<1, [1, 1]>, 1], q_old: 0.44, q_new: 0.44, gain: 0.0000, need: 0.1537, evb: 0.00000
Horizon 0, [<1, [1, 1]>, 2], q_old: 0.44, q_new: 0.44, gain: 0.0000, need: 0.1537, evb: 0.00000
Horizon 0, [<1, [1, 1]>, 3], q_old: 0.61, q_new: 0.61, gain: 0.0000, need: 0.1537, evb: 0.00000
