--- Simulation details ---

Horizon 0, [<11, [1, 1]>, 2], q_old: 0.61, q_new: 0.61, gain: 0.0000, need: 0.0088, evb: 0.00000
Horizon 0, [<12, [1, 1]>, 1], q_old: 0.44, q_new: 0.44, gain: 0.0000, need: 0.0708, evb: 0.00000
Horizon 0, [<12, [1, 1]>, 3], q_old: 0.61, q_new: 0.61, gain: 0.0000, need: 0.0708, evb: 0.00000
Horizon 0, [<13, [1, 1]>, 2], q_old: 0.52, q_new: 0.52, gain: 0.0000, need: 0.0512, evb: 0.00000
Horizon 0, [<13, [1, 1]>, 3], q_old: 0.72, q_new: 0.72, gain: 0.0000, need: 0.0512, evb: 0.00000
Horizon 0, [<14, [1, 1]>, 0], q_old: 0.85, q_new: 0.85, gain: 0.0000, need: 0.4042, evb: 0.00000
Horizon 0, [<14, [1, 1]>, 1], q_old: 0.23, q_new: 0.31, gain: -0.0048, need: 0.4042, evb: -0.00193
Horizon 0, [<14, [1, 1]>, 2], q_old: 0.00, q_new: 0.61, gain: -0.0357, need: 0.4042, evb: -0.01442
Horizon 0, [<17, [1, 1]>, 0], q_old: 0.52, q_new: 0.52, gain: 0.0000, need: 0.0103, evb: 0.00000
Horizon 0, [<17, [1, 1]>, 1], q_old: 0.00, q_new: 0.38, gain: -0.0349, need: 0.0103, evb: -0.00036
Horizon 0, [<18, [1, 1]>, 0], q_old: 0.52, q_new: 0.52, gain: 0.0000, need: 0.0985, evb: 0.00000
Horizon 0, [<18, [1, 1]>, 1], q_old: 0.38, q_new: 0.38, gain: 0.0000, need: 0.0985, evb: 0.00000
Horizon 0, [<20, [1, 1]>, 0], q_old: 0.36, q_new: 0.36, gain: 0.0000, need: 1.8852, evb: 0.00000
Horizon 0, [<20, [1, 1]>, 1], q_old: 0.27, q_new: 0.27, gain: 0.0000, need: 1.8852, evb: 0.00000
Horizon 0, [<23, [1, 1]>, 0], q_old: 0.44, q_new: 0.44, gain: 0.0000, need: 0.0142, evb: 0.00000
Horizon 0, [<23, [1, 1]>, 1], q_old: 0.32, q_new: 0.32, gain: 0.0000, need: 0.0142, evb: 0.00000
Horizon 0, [<24, [1, 1]>, 0], q_old: 0.44, q_new: 0.44, gain: 0.0000, need: 0.1409, evb: 0.00000
Horizon 0, [<24, [1, 1]>, 3], q_old: 0.32, q_new: 0.32, gain: 0.0000, need: 0.1409, evb: 0.00000
Horizon 0, [<25, [1, 1]>, 2], q_old: 0.38, q_new: 0.38, gain: 0.0000, need: 0.4105, evb: 0.00000
Horizon 0, [<25, [1, 1]>, 3], q_old: 0.27, q_new: 0.27, gain: 0.0000, need: 0.4105, evb: 0.00000
Horizon 0, [<26, [1, 1]>, 0], q_old: 0.23, q_new: 0.31, gain: 0.0032, need: 1.1555, evb: 0.00374
